id,team_id,position,school,country,start_year,draft number,name,team,PLAYER_AGE
1630173,1610612761,F,Memphis,Nigeria,2020,20.0,Precious Achiuwa,Toronto Raptors,24.0
203500,1610612763,C,Pittsburgh,New Zealand,2013,12.0,Steven Adams,Memphis Grizzlies,29.0
1628389,1610612748,C-F,Kentucky,USA,2017,14.0,Bam Adebayo,Miami Heat,26.0
1630534,1610612762,G,Kansas,USA,2022,14.0,Ochai Agbaji,Utah Jazz,23.0
1630583,1610612763,F-C,Loyola-Maryland,Spain,2021,30.0,Santi Aldama,Memphis Grizzlies,22.0
1629638,1610612750,G,Virginia Tech,Canada,2019,17.0,Nickeil Alexander-Walker,Minnesota Timberwolves,25.0
1628960,1610612756,G,Duke,USA,2018,21.0,Grayson Allen,Phoenix Suns,28.0
1628386,1610612739,C,Texas,USA,2017,22.0,Jarrett Allen,Cleveland Cavaliers,25.0
1630631,1610612740,G,Georgia Tech,USA,2021,0.0,Jose Alvarado,New Orleans Pelicans,25.0
203937,1610612750,F-G,UCLA,USA,2014,30.0,Kyle Anderson,Minnesota Timberwolves,30.0
203507,1610612749,F,Filathlitikos,Greece,2013,15.0,Giannis Antetokounmpo,Milwaukee Bucks,28.0
203648,1610612749,F,Panathinaikos,Greece,2015,51.0,Thanasis Antetokounmpo,Milwaukee Bucks,31.0
1630175,1610612753,G,North Carolina,USA,2020,15.0,Cole Anthony,Orlando Magic,23.0
1628384,1610612761,F-G,Indiana,United Kingdom,2017,23.0,OG Anunoby,Toronto Raptors,26.0
1627853,1610612752,G,Villanova,USA,2017,0.0,Ryan Arcidiacono,New York Knicks,29.0
1630166,1610612764,F,Maccabi Tel Aviv,Israel,2020,9.0,Deni Avdija,Washington Wizards,22.0
1629028,1610612757,C,Arizona,Bahamas,2018,1.0,Deandre Ayton,Portland Trail Blazers,25.0
1628962,1610612756,C-F,Kansas,Nigeria,2020,27.0,Udoka Azubuike,Phoenix Suns,24.0
1628963,1610612765,F,Duke,USA,2018,2.0,Marvin Bagley III,Detroit Pistons,24.0
1641735,1610612766,G,UCLA,USA,2023,41.0,Amari Bailey,Charlotte Hornets,19.0
1631116,1610612764,F,Wisconsin-Milwaukee,USA,2022,28.0,Patrick Baldwin Jr.,Washington Wizards,21.0
1630163,1610612766,G,Illawarra,USA,2020,3.0,LaMelo Ball,Charlotte Hornets,22.0
1628366,1610612741,G,UCLA,USA,2017,2.0,Lonzo Ball,Chicago Bulls,24.0
1628964,1610612755,C,Texas,USA,2018,6.0,Mo Bamba,Philadelphia 76ers,25.0
1631094,1610612753,F,Duke,USA,2022,1.0,Paolo Banchero,Orlando Magic,21.0
1630217,1610612763,G,TCU,USA,2020,30.0,Desmond Bane,Memphis Grizzlies,25.0
1630625,1610612738,F,Nebraska,Canada,2021,46.0,Dalano Banton,Boston Celtics,24.0
1631230,1610612759,F,                                   ,USA,2022,0.0,Dominick Barlow,San Antonio Spurs,20.0
203084,1610612758,F,North Carolina,USA,2012,7.0,Harrison Barnes,Sacramento Kings,31.0
1630567,1610612761,F-G,Florida State,USA,2021,4.0,Scottie Barnes,Toronto Raptors,22.0
1629628,1610612752,F-G,Duke,Canada,2019,3.0,RJ Barrett,New York Knicks,23.0
1629646,1610612759,C-F,Western Kentucky,Nigeria,2021,53.0,Charles Bassey,San Antonio Spurs,23.0
1641734,1610612739,F,Eastern Michigan,USA,2023,49.0,Emoni Bates,Cleveland Cavaliers,19.0
1628966,1610612756,F,Ohio State,USA,2018,48.0,Keita Bates-Diop,Phoenix Suns,27.0
201587,1610612755,G-F,Le Mans,France,2008,25.0,Nicolas Batum,Philadelphia 76ers,34.0
203078,1610612756,G,Florida,USA,2012,3.0,Bradley Beal,Phoenix Suns,30.0
1627736,1610612749,G,Florida State,USA,2016,19.0,Malik Beasley,Milwaukee Bucks,26.0
1630699,1610612749,F,NBA G League Ignite,USA,2022,24.0,MarJon Beauchamp,Milwaukee Bucks,23.0
1641777,1610612759,C,Alabama,Canada,2023,0.0,Charles Bediako,San Antonio Spurs,
202722,1610612760,F,Baskonia,Latvia,2016,42.0,Davis Bertans,Oklahoma City Thunder,31.0
201976,1610612755,G,Arkansas,USA,2012,42.0,Patrick Beverley,Philadelphia 76ers,35.0
1630180,1610612737,G-F,Villanova,USA,2020,19.0,Saddiq Bey,Atlanta Hawks,24.0
1629048,1610612753,C-F,Mega Basket,Georgia,2019,18.0,Goga Bitadze,Orlando Magic,24.0
1641931,1610612741,F,                                   ,Turkey,2023,0.0,Onuralp Bitim,Chicago Bulls,24.0
202687,1610612763,C,Baloncesto Fuenlabrada,DRC,2011,7.0,Bismack Biyombo,Memphis Grizzlies,31.0
1641710,1610612753,G,Arkansas,USA,2023,6.0,Anthony Black,Orlando Magic,19.0
1641778,1610612766,F,North Carolina,USA,2023,0.0,Leaky Black,Charlotte Hornets,24.0
203992,1610612737,G,Fenerbahce,Serbia,2017,27.0,Bogdan Bogdanovic,Atlanta Hawks,31.0
202711,1610612765,F,Fenerbahce,Croatia,2014,31.0,Bojan Bogdanovic,Detroit Pistons,34.0
1629626,1610612756,C-F,Oregon,Sudan,2019,44.0,Bol Bol,Phoenix Suns,24.0
1629716,1610612749,C,Duke,USA,2019,0.0,Marques Bolden,Milwaukee Bucks,25.0
1626164,1610612756,G,Kentucky,USA,2015,13.0,Devin Booker,Phoenix Suns,27.0
1630527,1610612746,G,Kentucky,USA,2021,51.0,Brandon Boston Jr.,LA Clippers,21.0
1628449,1610612761,F,Oregon,Saint Lucia,2017,0.0,Chris Boucher,Toronto Raptors,30.0
1630547,1610612766,G,Connecticut,USA,2021,11.0,James Bouknight,Charlotte Hornets,22.0
1631123,1610612757,G,San Francisco,USA,2022,0.0,Jamaree Bouyea,Portland Trail Blazers,24.0
1631103,1610612759,F,Ohio State,USA,2022,20.0,Malaki Branham,San Antonio Spurs,20.0
1631128,1610612743,G,Kansas,USA,2022,21.0,Christian Braun,Denver Nuggets,22.0
1628969,1610612751,G-F,Villanova,USA,2018,10.0,Mikal Bridges,Brooklyn Nets,27.0
1628970,1610612766,F,Michigan State,USA,2018,12.0,Miles Bridges,Charlotte Hornets,25.0
1629052,1610612738,F-G,Syracuse,Canada,2019,0.0,Oshae Brissett,Boston Celtics,25.0
1627763,1610612757,G,Virginia,USA,2016,36.0,Malcolm Brogdon,Portland Trail Blazers,30.0
1629717,1610612751,G,Houston,USA,2020,0.0,Armoni Brooks,Brooklyn Nets,25.0
1628415,1610612745,G-F,Oregon,Canada,2017,45.0,Dillon Brooks,Houston Rockets,27.0
1628971,1610612754,G-F,Miami,USA,2018,42.0,Bruce Brown,Indiana Pacers,27.0
1627759,1610612738,G-F,California,USA,2016,3.0,Jaylen Brown,Boston Celtics,27.0
1631112,1610612754,G,Baylor,USA,2022,48.0,Kendall Brown,Indiana Pacers,20.0
1641738,1610612746,F,Missouri,USA,2023,30.0,Kobe Brown,LA Clippers,23.0
1629650,1610612757,C,UCLA,USA,2019,0.0,Moses Brown,Portland Trail Blazers,24.0
1630535,1610612742,F,Texas,USA,2021,43.0,Greg Brown III,Dallas Mavericks,21.0
1629718,1610612752,G,St. Joseph's (PA),USA,2019,0.0,Charlie Brown Jr.,New York Knicks,25.0
1628972,1610612750,G-F,Oregon,USA,2018,15.0,Troy Brown Jr.,Minnesota Timberwolves,24.0
1628973,1610612752,G,Villanova,USA,2018,33.0,Jalen Brunson,New York Knicks,27.0
1628418,1610612748,C-F,Indiana,USA,2017,42.0,Thomas Bryant,Miami Heat,26.0
1641723,1610612737,G,Michigan,USA,2023,15.0,Kobe Bufkin,Atlanta Hawks,20.0
203493,1610612745,G-F,North Carolina,USA,2013,25.0,Reggie Bullock Jr.,Houston Rockets,32.0
202692,1610612765,G,Colorado,USA,2011,12.0,Alec Burks,Detroit Pistons,32.0
1630215,1610612764,G,Baylor,USA,2021,40.0,Jared Butler,Washington Wizards,23.0
202710,1610612748,F,Marquette,USA,2011,30.0,Jimmy Butler,Miami Heat,34.0
1631219,1610612764,F,Florida State,USA,2022,0.0,John Butler Jr.,Washington Wizards,20.0
1631288,1610612748,F,Oakland,USA,2022,0.0,Jamal Cain,Miami Heat,24.0
203484,1610612743,G,Georgia,USA,2013,8.0,Kentavious Caldwell-Pope,Denver Nuggets,30.0
1641739,1610612757,F,Dayton,Belgium,2023,52.0,Toumani Camara,Portland Trail Blazers,23.0
1628427,1610612743,F,San Pablo Burgos,Slovenia,2019,49.0,Vlatko Cancar,Denver Nuggets,26.0
203991,1610612737,C,Elan Chalon,Switzerland,2014,25.0,Clint Capela,Atlanta Hawks,29.0
1628975,1610612741,G,West Virginia,USA,2018,32.0,Jevon Carter,Chicago Bulls,28.0
1628976,1610612753,C-F,Duke,USA,2018,7.0,Wendell Carter Jr.,Orlando Magic,24.0
1627936,1610612741,G,Texas A&M,USA,2017,0.0,Alex Caruso,Chicago Bulls,29.0
1630658,1610612747,C,Florida,USA,2023,0.0,Colin Castleton,Los Angeles Lakers,23.0
1630608,1610612765,G,Mega Basket,France,2023,0.0,Malcolm Cazalon,Detroit Pistons,22.0
1630577,1610612759,F,St. John's,USA,2022,0.0,Julian Champagnie,San Antonio Spurs,22.0
1631108,1610612747,G,Michigan State,USA,2022,35.0,Max Christie,Los Angeles Lakers,20.0
1630528,1610612762,G,Arizona State,USA,2021,24.0,Josh Christopher,Utah Jazz,21.0
1631321,1610612759,G,NBA G League Ignite,France,2023,44.0,Sidy Cissoko,San Antonio Spurs,19.0
1641740,1610612750,G,UCLA,USA,2023,53.0,Jaylen Clark,Minnesota Timberwolves,
1629634,1610612763,F,Gonzaga,Canada,2019,21.0,Brandon Clarke,Memphis Grizzlies,26.0
203903,1610612762,G,Missouri,USA,2014,46.0,Jordan Clarkson,Utah Jazz,31.0
1629651,1610612751,C,Georgia,USA,2019,31.0,Nic Claxton,Brooklyn Nets,24.0
1641730,1610612751,F,Alabama,USA,2023,21.0,Noah Clowney,Brooklyn Nets,
1629599,1610612746,G-F,Minnesota,USA,2019,0.0,Amir Coffey,LA Clippers,26.0
1628381,1610612762,F-C,Wake Forest,USA,2017,19.0,John Collins,Utah Jazz,26.0
1628380,1610612759,F-C,Gonzaga,USA,2017,10.0,Zach Collins,San Antonio Spurs,26.0
201144,1610612750,G,Ohio State,USA,2007,4.0,Mike Conley,Minnesota Timberwolves,36.0
1626192,1610612749,G,Notre Dame,USA,2015,41.0,Pat Connaughton,Milwaukee Bucks,30.0
1641731,1610612764,G,Metropolitans 92,France,2023,7.0,Bilal Coulibaly,Washington Wizards,19.0
1641741,1610612755,G,Arkansas,USA,2023,0.0,Ricky Council IV,Philadelphia 76ers,
203496,1610612755,F,Tennessee State,USA,2013,0.0,Robert Covington,Philadelphia 76ers,32.0
1628470,1610612741,F,South Carolina Upstate,USA,2017,0.0,Torrey Craig,Chicago Bulls,32.0
203109,1610612749,F,Marquette,USA,2012,34.0,Jae Crowder,Milwaukee Bucks,33.0
1630595,1610612765,G,Oklahoma State,USA,2021,1.0,Cade Cunningham,Detroit Pistons,22.0
203552,1610612742,G,Duke,USA,2013,0.0,Seth Curry,Dallas Mavericks,33.0
201939,1610612744,G,Davidson,USA,2009,7.0,Stephen Curry,Golden State Warriors,35.0
1630700,1610612740,G,NBA G League Ignite,Australia,2022,8.0,Dyson Daniels,New Orleans Pelicans,20.0
203076,1610612747,F-C,Kentucky,USA,2012,1.0,Anthony Davis,Los Angeles Lakers,30.0
1631098,1610612764,G,Wisconsin,USA,2022,10.0,Johnny Davis,Washington Wizards,21.0
1631120,1610612738,G,Alabama,USA,2022,53.0,JD Davison,Boston Celtics,20.0
201942,1610612741,G-F,Southern California,USA,2009,9.0,DeMar DeRozan,Chicago Bulls,34.0
1641926,1610612742,G,Texas A&M,USA,2023,0.0,Dexter Dennis,Dallas Mavericks,
1628978,1610612752,G,Villanova,USA,2018,17.0,Donte DiVincenzo,New York Knicks,26.0
1631217,1610612746,F,Michigan,France,2022,43.0,Moussa Diabate,LA Clippers,21.0
1641711,1610612761,G-F,Kansas,USA,2023,13.0,Gradey Dick,Toronto Raptors,20.0
1631172,1610612760,F,New Zealand Breakers,France,2022,11.0,Ousmane Dieng,Oklahoma City Thunder,20.0
203915,1610612751,G,Colorado,USA,2014,38.0,Spencer Dinwiddie,Brooklyn Nets,30.0
1629029,1610612742,F-G,Real Madrid,Slovenia,2018,3.0,Luka Doncic,Dallas Mavericks,24.0
1629652,1610612760,G,Arizona State,Canada,2019,0.0,Luguentz Dort,Oklahoma City Thunder,24.0
1630245,1610612741,G,Illinois,USA,2021,38.0,Ayo Dosunmu,Chicago Bulls,23.0
203083,1610612741,C,Connecticut,USA,2012,9.0,Andre Drummond,Chicago Bulls,30.0
1630537,1610612758,G,Oregon,Dominican Republic,2021,13.0,Chris Duarte,Sacramento Kings,26.0
1627739,1610612762,G,Providence,USA,2016,5.0,Kris Dunn,Utah Jazz,29.0
201142,1610612756,F,Texas,USA,2007,2.0,Kevin Durant,Phoenix Suns,35.0
1631105,1610612765,C,Memphis,USA,2022,13.0,Jalen Duren,Detroit Pistons,20.0
1631106,1610612745,F,Louisiana State,USA,2022,17.0,Tari Eason,Houston Rockets,22.0
1630162,1610612750,G,Georgia,USA,2020,1.0,Anthony Edwards,Minnesota Timberwolves,22.0
1630556,1610612758,F,Pepperdine,USA,2021,44.0,Kessler Edwards,Sacramento Kings,23.0
1631165,1610612758,G,Alabama,USA,2022,0.0,Keon Ellis,Sacramento Kings,23.0
203954,1610612755,C-F,Kansas,Cameroon,2014,3.0,Joel Embiid,Philadelphia 76ers,29.0
1629234,1610612756,F-C,Oregon State,USA,2018,0.0,Drew Eubanks,Phoenix Suns,26.0
203957,1610612742,G,Australian Institute of Sport,Australia,2014,5.0,Dante Exum,Dallas Mavericks,28.0
1628981,1610612737,F-C,Maryland,Angola,2019,34.0,Bruno Fernando,Atlanta Hawks,25.0
1627827,1610612751,F,Florida,USA,2016,0.0,Dorian Finney-Smith,Brooklyn Nets,30.0
1630201,1610612761,G,San Diego State,USA,2020,29.0,Malachi Flynn,Toronto Raptors,25.0
1631323,1610612762,F,Baskonia,Italy,2022,0.0,Simone Fontecchio,Utah Jazz,27.0
1630259,1610612758,G,St. Mary's College,USA,2023,0.0,Jordan Ford,Sacramento Kings,25.0
1630235,1610612737,G,Florida State,USA,2020,0.0,Trent Forrest,Atlanta Hawks,25.0
203095,1610612752,G-F,Poitiers Basket 86,France,2012,20.0,Evan Fournier,New York Knicks,31.0
1628368,1610612758,G,Kentucky,USA,2017,5.0,De'Aaron Fox,Sacramento Kings,25.0
1631241,1610612761,G,DePaul,USA,2023,0.0,Javon Freeman-Liberty,Toronto Raptors,
1641788,1610612747,F,Florida,USA,2023,0.0,Alex Fudge,Los Angeles Lakers,20.0
1628365,1610612753,G,Washington,USA,2017,1.0,Markelle Fultz,Orlando Magic,25.0
1629655,1610612764,F-C,Arkansas,USA,2019,38.0,Daniel Gafford,Washington Wizards,25.0
201568,1610612764,F,Olimpia Milano,Italy,2008,6.0,Danilo Gallinari,Washington Wizards,35.0
1629636,1610612739,G,Vanderbilt,USA,2019,5.0,Darius Garland,Cleveland Cavaliers,23.0
1630586,1610612744,F,Real Madrid,Spain,2021,23.0,Usman Garuba,Golden State Warriors,21.0
1630568,1610612750,C,Iowa,USA,2021,52.0,Luka Garza,Minnesota Timberwolves,24.0
1629232,0,F,Xavier,USA,2023,0.0,Kaiser Gates,,27.0
1641718,1610612762,G,Baylor,USA,2023,16.0,Keyonte George,Utah Jazz,20.0
202331,1610612746,F,Fresno State,USA,2010,10.0,Paul George,LA Clippers,33.0
1630581,1610612760,G,NBA Global Academy,Australia,2021,6.0,Josh Giddey,Oklahoma City Thunder,21.0
1628385,1610612751,F-C,Duke,USA,2017,20.0,Harry Giles III,Brooklyn Nets,25.0
1628983,1610612760,G,Kentucky,Canada,2018,11.0,Shai Gilgeous-Alexander,Oklahoma City Thunder,25.0
1630264,1610612764,F,Virginia,USA,2020,0.0,Anthony Gill,Washington Wizards,31.0
1631221,1610612743,G,Villanova,USA,2022,0.0,Collin Gillespie,Denver Nuggets,24.0
1631367,1610612763,G,Richmond,USA,2022,0.0,Jacob Gilyard,Memphis Grizzlies,25.0
203497,1610612750,C,Cholet,France,2013,27.0,Rudy Gobert,Minnesota Timberwolves,31.0
1630692,1610612756,G,St. Louis,USA,2021,0.0,Jordan Goodwin,Phoenix Suns,25.0
203932,1610612743,F,Arizona,USA,2014,4.0,Aaron Gordon,Denver Nuggets,28.0
201569,1610612756,G,Indiana,USA,2008,7.0,Eric Gordon,Phoenix Suns,34.0
1628984,1610612759,G,Kansas,USA,2018,34.0,Devonte' Graham,San Antonio Spurs,28.0
203924,1610612757,F,Syracuse,USA,2014,39.0,Jerami Grant,Portland Trail Blazers,29.0
1631260,1610612749,G,Northern Iowa,USA,2022,0.0,AJ Green,Milwaukee Bucks,24.0
201980,0,G,North Carolina,USA,2009,46.0,Danny Green,,36.0
203110,1610612744,F,Michigan State,USA,2012,35.0,Draymond Green,Golden State Warriors,33.0
1630224,1610612745,G,NBA G League Ignite,USA,2021,2.0,Jalen Green,Houston Rockets,21.0
